IDDOCUMENTO;PRIMOIDENTIFICATIVO;ULTIMOIDENTIFICATIVO;DATASCADENZAAFFITTO;SUPERFICIEUBA;CUAATERZOSOGGETTO;STATO
APPAG.TT.2016.107TN002.021;8490765;;;;;
APPAG.TT.2016.107TN002.021;8490766;;;;;
APPAG.TT.2016.107TN002.021;8490767;;;;;
APPAG.TT.2016.107TN002.021;8490768;;;;;
APPAG.TT.2016.107TN002.021;8490769;;;;;
APPAG.TT.2016.107TN002.021;8490770;;;;;
APPAG.TT.2016.107TN002.021;8490771;;;;;
APPAG.TT.2016.107TN002.021;8490772;;;;;
APPAG.TT.2016.107TN002.021;8490773;;;;;
APPAG.TT.2016.107TN002.021;8490774;;;;;
APPAG.TT.2016.107TN002.021;8490775;;;;;
APPAG.TT.2016.107TN002.021;8490776;;;;;
APPAG.TT.2016.107TN002.021;8490777;;;;;
APPAG.TT.2016.107TN002.021;8490778;;;;;
APPAG.TT.2016.107TN002.021;8490779;;;;;
APPAG.TT.2016.107TN002.021;8490780;;;;;
APPAG.TT.2016.107TN002.021;8490781;;;;;
APPAG.TT.2016.107TN002.021;8490782;;;;;
APPAG.TT.2016.107TN002.021;8490783;;;;;
APPAG.TT.2016.107TN002.021;8490784;;;;;
APPAG.TT.2016.107TN002.021;8490785;;;;;
APPAG.TT.2016.107TN002.021;8490786;;;;;
APPAG.TT.2016.107TN002.021;8490787;;;;;
APPAG.TT.2016.107TN002.021;8490788;;;;;
APPAG.TT.2016.107TN002.021;8490789;;;;;
APPAG.TT.2016.107TN002.021;8490790;;;;;
APPAG.TT.2016.107TN002.021;8490791;;;;;
APPAG.TT.2016.107TN002.021;8490792;;;;;
APPAG.TT.2016.107TN002.021;8490793;;;;;
APPAG.TT.2016.107TN002.021;8490794;;;;;
APPAG.TT.2016.107TN002.021;8490795;;;;;
APPAG.TT.2016.107TN002.021;8490796;;;;;
APPAG.TT.2016.107TN002.021;8490797;;;;;
APPAG.TT.2016.107TN001.003;11334731;;;;;
APPAG.TT.2016.107TN001.003;11334732;;;;;
APPAG.TT.2016.107TN001.003;11334733;;;;;
APPAG.TT.2016.107TN001.003;11334734;;;;;
APPAG.TT.2016.107TN001.003;11334735;;;;;
APPAG.TT.2016.107TN001.003;11334736;;;;;
APPAG.TT.2016.107TN001.003;11334737;;;;;
APPAG.TT.2016.107TN001.003;11334738;;;;;
APPAG.TT.2016.107TN001.003;11334739;;;;;
APPAG.TT.2016.107TN001.003;11334740;;;;;
APPAG.TT.2016.107TN001.005;11956520;;;;;
APPAG.TT.2016.107TN001.005;11956521;;;;;
APPAG.TT.2016.107TN001.005;11956522;;;;;
APPAG.TT.2016.107TN001.005;11956523;;;;;
APPAG.TT.2016.107TN001.005;11956524;;;;;
APPAG.TT.2016.107TN001.005;11956525;;;;;
APPAG.TT.2016.107TN001.005;11956526;;;;;
APPAG.TT.2016.107TN001.005;11956527;;;;;
APPAG.TT.2016.107TN001.005;11956528;;;;;
APPAG.TT.2016.107TN001.005;11956529;;;;;
APPAG.TT.2016.107TN001.005;11956530;;;;;
APPAG.TT.2016.107TN001.005;11956531;;;;;
APPAG.TT.2016.107TN001.005;11956532;;;;;
APPAG.TT.2016.107TN001.005;11956533;;;;;
APPAG.TT.2016.107TN001.005;11956534;;;;;
APPAG.TT.2016.107TN001.005;11956535;;;;;
APPAG.TT.2016.107TN001.005;11956536;;;;;
APPAG.TT.2016.107TN001.005;11956537;;;;;
APPAG.TT.2016.107TN001.005;11956538;;;;;
APPAG.TT.2016.107TN001.005;11956539;;;;;
APPAG.TT.2016.107TN001.005;11956540;;;;;
